Country,Year,CleanFuelAccess,ElectricityAccess,CO2Emissions,ElecPowerConsumption,CoalElectricity,HydroElectricity,GasElectricity,NuclearElectricity,OilElectricity,RenewableElectricity,RenewableElectricity_kWh,EnergyIntensity,EnergyUse,FossilFuelConsumption,GDPGrowth,GDPPerCapita,PrivateEnergyInvest,LandArea,PopDensity,TotalPopulation,PPP_EnergyInvest,RenewableEnergyConsumption,TotalGHGEmissions,Latitude,Longitude
Tajikistan,2008,63.7,98.64735,0.415183,1916.548,0.0,97.85099,2.149006,0.0,0.0,0.0,0.0,6.32,335.0104,41.55519,7.899998,704.6502,220000000.0,139960.0,52.33372,7324627.0,220000000.0,54.61,9021.628,38.86103,71.27609
Philippines,2010,41.2,85.48321,0.865603,633.3906,34.39668,11.5187,28.81226,0.0,10.48242,14.7796,10000000000.0,3.14,426.8654,60.11117,7.3345,2201.777,1510000000.0,298170.0,317.3918,94636700.0,1450000000.0,32.6,158249.8,12.87972,121.774
Grenada,2002,93.0,86.58207,1.944914,27386.13,0.0,82.72533,0.0,0.0,0.060627,17.21405,1420000000.0,2.58,640.5412,0.0,3.437324,4992.441,3500000.0,340.0,318.3265,108231.0,19800000.0,10.47,2093.515,12.1165,-61.679
Barbados,2018,100.0,100.0,4.541382,27386.13,0.0,82.72533,0.0,0.0,0.060627,17.21405,1420000000.0,4.94,1273.429,0.0,-1.02714,18224.89,45600000.0,430.0,650.4372,279688.0,40120000.0,4.15,3796.374,13.19389,-59.5432
Turkmenistan,2002,99.6,99.60683,8.812722,1742.723,0.0,0.0,100.0,0.0,0.0,0.0,0.0,20.25,3366.606,81.62119,0.25718,949.5764,30740000.0,469930.0,9.999294,4698968.0,223000000.0,0.09,128299.2,38.96972,59.55628
Belarus,2015,99.3,97.37328,5.799689,1880.386,0.0,0.313949,97.86691,6.450725,1.062144,0.501731,171000000.0,6.07,1342.162,58.38389,-3.82966,5967.069,140000000.0,202978.0,46.61134,9461076.0,140000000.0,6.82,88193.49,53.70981,27.95339
Guatemala,2003,38.7,78.5122,0.851254,453.8742,13.70522,37.85927,0.0,0.0,37.08056,11.35495,802000000.0,4.41,606.7471,42.48637,2.560378,1737.879,110000000.0,107160.0,115.8579,12415334.0,110000000.0,64.29,20791.59,15.78347,-90.2308
Sudan,2016,50.3,50.50496,0.54608,1571.7,2.481348,36.73757,56.47778,2.742382,2.059822,0.80415,559000000.0,4.16,1238.762,86.07494,3.467642,2614.294,560000000.0,1868000.0,21.07985,39377169.0,465000000.0,58.85,106238.9,12.86281,30.21764
Belarus,2004,96.7,91.0092,5.729965,3174.053,0.0,0.105735,95.02403,0.0,4.854213,0.003204,1000000.0,10.66,2752.759,93.58566,11.44974,2378.34,330000000.0,202815.0,47.97548,9730146.0,330000000.0,6.27,85337.9,53.70981,27.95339
Bhutan,2009,61.2,71.51531,0.568787,17099.01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,10.69,2491.09,20.0,6.748334,1768.746,201000000.0,38117.0,18.30359,697678.0,201000000.0,92.38,1067.413,27.51416,90.4336
Albania,2009,63.1,99.55445,1.492117,1835.684,0.0,99.98078,0.0,0.0,0.019223,0.0,0.0,2.98,732.3167,63.42173,3.354289,4114.134,664000000.0,27400.0,106.8438,2927519.0,244000000.0,37.09,8799.865,41.15333,20.16833
Austria,2015,100.0,100.0,7.31886,9491.506,8.226608,59.99709,12.6014,0.0,1.394039,16.49369,10200000000.0,3.01,3800.299,65.66182,1.014502,44195.82,108000000.0,82520.0,104.7346,8642699.0,108000000.0,34.82,76429.62,47.51623,14.55007
Guinea,2003,0.8,18.93285,0.194693,949.9569,0.24031,9.327777,17.7697,0.0,69.45978,3.202432,209000000.0,8.5,757.3313,65.22818,1.248601,392.8798,206000000.0,245720.0,35.7002,8772254.0,212000000.0,83.47,13581.84,9.945587,-9.69665
Djibouti,2019,9.2,64.7,0.398764,4325.948,0.0,0.0,0.0,0.0,99.80086,0.199141,10200000.0,2.08,758.1321,19.34333,5.545131,2876.044,166000000.0,23180.0,46.33279,1073994.0,166000000.0,26.99,1388.224,11.82514,42.59028
United Arab Emirates,2004,100.0,100.0,27.54777,12184.29,0.0,0.0,97.66488,0.0,2.33512,0.0,0.0,4.4,10480.62,99.94024,9.566437,37017.74,118000000.0,71020.0,56.22837,3993339.0,352000000.0,0.1,146808.4,23.42408,53.84782
Chad,2012,3.1,7.79171,0.096726,270.1695,45.15838,39.94994,0.0,0.0,14.89168,0.0,0.0,3.93,317.7017,11.91121,8.882576,969.6161,49720000.0,1259200.0,10.12937,12754906.0,49720000.0,76.08,60192.88,15.45417,18.73221
Romania,2010,100.0,97.09669,3.832785,2550.863,34.21699,32.79995,11.97974,19.17386,1.141556,0.687903,417000000.0,3.56,1730.088,75.07095,-3.90124,8397.809,87912000.0,230050.0,88.01074,20246871.0,87912000.0,24.08,106101.9,45.94316,24.96676
Belarus,2005,97.1,91.52557,5.842829,3245.372,0.0,0.116275,96.8315,0.0,3.036078,0.00323,1000000.0,9.74,2768.822,92.67264,9.400002,3126.072,330000000.0,202833.0,47.64469,9663915.0,330000000.0,6.83,86179.88,53.70981,27.95339
El Salvador,2016,86.9,96.0,1.139923,2186.09,0.0,30.75941,0.0,0.0,49.07027,20.17032,1220000000.0,3.38,1161.012,61.08978,2.539062,3870.313,303000000.0,20720.0,301.6655,6250510.0,303000000.0,20.71,12171.42,13.79419,-88.8965
Brazil,2009,93.6,98.85694,1.799328,2189.998,2.098597,83.88122,2.860202,2.77975,3.140601,5.114552,23800000000.0,3.74,1236.154,51.31851,-0.12581,8569.902,23600000000.0,8358140.0,23.27283,195000000.0,23200000000.0,48.92,913687.6,-14.235,-51.9253
Costa Rica,2013,93.6,99.56352,1.623425,1919.844,0.0,66.93698,0.0,0.0,11.68539,21.37763,2190000000.0,2.42,1010.727,49.37779,2.494766,10633.27,416000000.0,51060.0,93.84127,4791535.0,416000000.0,37.8,14390.8,9.748917,-83.7534
Bahrain,2007,100.0,100.0,22.10504,20501.05,0.0,0.0,98.83555,0.0,1.16445,0.0,0.0,10.31,11184.11,97.83177,8.29396,20883.55,190000000.0,750.0,1387.376,1040532.0,183000000.0,0.0,35914.54,26.0667,50.5577
Finland,2007,100.0,100.0,12.30973,17160.86,18.01957,17.44969,12.99403,28.83008,0.577266,12.48815,10100000000.0,6.0,6974.897,49.82069,5.299337,48476.39,245000000.0,304090.0,17.39196,5288720.0,245000000.0,31.8,79087.17,61.92411,25.74815
Bosnia and Herzegovina,2003,50.2,99.04157,3.554556,2008.482,58.83188,39.95207,0.0,0.0,1.216048,0.0,0.0,5.78,1051.449,88.8767,3.867139,2031.402,118000000.0,51200.0,81.714,4183757.0,352000000.0,20.14,19027.1,43.91589,17.67908
Georgia,2012,71.5,100.0,1.929001,2329.926,0.0,74.50232,25.49768,0.0,0.0,0.0,0.0,3.68,993.7399,74.46282,6.369008,4421.93,186000000.0,69490.0,65.23801,3728874.0,297000000.0,28.69,15143.92,42.31541,43.35689
Sri Lanka,2017,27.9,97.5,1.075961,1526.097,28.16326,40.2301,7.220295,5.61336,12.68041,1.175721,152000000.0,1.71,1245.78,68.50343,6.460681,4388.202,344000000.0,61893.0,347.4838,21506813.0,247000000.0,45.78,33847.33,7.873054,80.7718
Ecuador,2002,89.7,94.23397,1.849363,692.3166,0.0,63.29913,3.14603,0.0,33.55485,0.0,0.0,3.48,698.4728,85.43974,4.096777,2184.209,173000000.0,248360.0,52.62767,13070609.0,173000000.0,17.1,53839.92,-1.83124,-78.1834
Tunisia,2004,97.3,99.0,2.236659,1007.46,0.0,1.289782,97.06868,0.0,1.273032,0.368509,44000000.0,3.99,822.2452,87.04397,6.235791,3029.85,630000000.0,155360.0,66.24759,10292225.0,630000000.0,13.92,32858.75,33.88692,9.537499
North Macedonia,2020,78.3,100.0,3.27942,3660.018,69.51733,23.86209,3.777905,0.0,1.903318,0.939358,52400000.0,3.31,1386.264,81.18563,-6.11089,5965.45,136000000.0,25220.0,82.17807,2072531.0,112000000.0,20.26,9768.86,41.60864,21.74528
Ethiopia,2018,5.69,44.84433,0.15323,2089.235,10.73141,12.05732,52.8455,3.391349,17.80393,3.157172,8700000000.0,7.92,1619.068,90.02699,6.816148,758.2977,299000000.0,1128561.0,98.46999,111000000.0,299000000.0,89.73,148723.7,9.145,40.48967
Lesotho,2007,26.8,13.8626,0.987817,6314.806,35.02441,25.05518,2.238252,36.51581,0.47404,0.677075,97400000.0,11.4,9.579196,0.0,4.187914,848.0237,136000000.0,30360.0,65.33152,1983465.0,125000000.0,55.33,3792.326,-29.61,28.23361
